YEAR,MONTH,DAY,HOUR,PRCP,,,,
2013,3,12,18,0,,,,
2013,3,16,13,1,,,,
2013,3,16,14,5,,,,
2013,3,16,15,2,,,,
2013,3,16,16,2,,,,
2013,3,16,17,1,,,,
2013,3,16,18,0,,,,
2013,3,16,19,1,,,,
2013,3,18,16,1,,,,
2013,3,18,17,4,,,,
2013,3,18,18,5,,,,
2013,3,18,19,11,,,,
2013,3,18,20,11,,,,
2013,3,18,21,12,,,,
2013,3,18,22,11,,,,
2013,3,18,23,6,,,,
2013,3,19,0,4,,,,
2013,3,19,1,4,,,,
2013,3,19,2,8,,,,
2013,3,19,3,3,,,,
2013,3,19,4,1,,,,
2013,3,19,9,1,,,,
2013,3,19,10,2,,,,
2013,3,19,11,12,,,,
2013,3,19,12,5,,,,
2013,3,19,19,0,,,,
2013,3,21,0,0,,,,
2013,3,21,3,0,,,,
2013,3,25,13,0,,,,
2013,3,25,14,2,,,,
2013,3,25,15,2,,,,
2013,3,25,16,2,,,,
2013,3,25,17,4,,,,
2013,3,25,18,2,,,,
2013,3,25,19,2,,,,
2013,3,25,20,2,,,,
2013,3,25,21,1,,,,
2013,3,28,16,0,,,,
2013,3,28,17,0,,,,
2013,3,28,18,0,,,,
2013,3,31,18,0,,,,
2013,3,31,19,1,,,,
2013,3,31,20,3,,,,
2013,3,31,21,2,,,,
2013,3,31,22,2,,,,
2013,4,1,1,0,,,,
2013,4,1,16,0,,,,
2013,4,1,17,0,,,,
2013,4,9,2,0,,,,
2013,4,9,3,0,,,,
2013,4,10,19,21,,,,
2013,4,10,20,2,,,,
2013,4,10,22,23,,,,
2013,4,10,23,3,,,,
2013,4,11,0,0,,,,
2013,4,11,1,0,,,,
2013,4,12,7,1,,,,
2013,4,12,8,2,,,,
2013,4,12,9,18,,,,
2013,4,12,10,18,,,,
2013,4,12,11,8,,,,
2013,4,12,12,3,,,,
2013,4,12,13,0,,,,
2013,4,12,14,7,,,,
2013,4,12,15,1,,,,
2013,4,12,23,1,,,,
2013,4,13,0,4,,,,
2013,4,13,1,1,,,,
2013,4,14,0,0,,,,
2013,4,17,5,0,,,,
2013,4,17,6,2,,,,
2013,4,18,16,1,,,,
2013,4,18,17,0,,,,
2013,4,19,22,2,,,,
2013,4,19,23,2,,,,
2013,4,20,0,1,,,,
2013,4,20,1,1,,,,
2013,4,20,2,1,,,,
2013,4,20,3,3,,,,
2013,4,20,4,1,,,,
2013,4,20,5,0,,,,
2013,4,29,5,0,,,,
2013,4,29,7,0,,,,
2013,4,29,13,2,,,,
